[2023-10-12 10:10:48 (EET)] 1 hr/att/absreq 0.048560857772827s 946.9KB 1096.2KB 
[2023-10-12 10:10:49 (EET)] 1 hr/att/current 0.046472072601318s 977.22KB 1051.22KB 
[2023-10-12 10:10:50 (EET)] 1 hr/att/report 0.044873952865601s 977.03KB 1049.92KB 
[2023-10-12 10:10:51 (EET)] 1 hr/att/day 0.075163125991821s 1120.82KB 1199.1KB 
[2023-10-12 10:13:03 (EET)] 1 user-account/settings 0.0849609375s 1046.44KB 1082.7KB 
[2023-10-12 10:15:24 (EET)] 1 user-account/settings 0.071822166442871s 1047.05KB 1083.31KB 
[2023-10-12 10:17:32 (EET)] 1 user-account/settings 0.06535005569458s 1047.05KB 1083.31KB 
[2023-10-12 10:17:45 (EET)] 1 user-account/settings 0.04097580909729s 1047.05KB 1083.31KB 
[2023-10-12 10:17:51 (EET)] 1 user-account/settings 0.056540966033936s 1047.05KB 1083.31KB 
[2023-10-12 10:18:00 (EET)] 1 user-account/settings 0.037910938262939s 1047.05KB 1083.31KB 
[2023-10-12 10:18:11 (EET)] 1 user-account/settings 0.092616081237793s 1047.05KB 1083.31KB 
[2023-10-12 10:18:16 (EET)] 1 user-account/settings 0.057560205459595s 1047.05KB 1083.31KB 
[2023-10-12 10:18:26 (EET)] 1 user-account/settings 0.063024997711182s 1047.05KB 1083.31KB 
[2023-10-12 10:18:30 (EET)] 1 user-account/settings 0.060941934585571s 1047.05KB 1083.31KB 
[2023-10-12 10:18:36 (EET)] 1 user-account/settings 0.066905975341797s 1047.02KB 1083.28KB 
[2023-10-12 10:18:40 (EET)] 1 user-account/settings 0.051369190216064s 1047.05KB 1083.31KB 
[2023-10-12 10:18:42 (EET)] 1 user-account/settings 0.06283712387085s 1047.17KB 1083.43KB 
[2023-10-12 10:18:46 (EET)] 1 user-account/settings 0.04212212562561s 1047.05KB 1083.31KB 
[2023-10-12 10:18:53 (EET)] 1 user-account/settings 0.064539909362793s 1047.02KB 1083.28KB 
[2023-10-12 10:18:58 (EET)] 1 user-account/settings 0.037758111953735s 1047.05KB 1083.31KB 
[2023-10-12 10:19:06 (EET)] 1 user-account/settings 0.040992975234985s 1047.05KB 1083.31KB 
[2023-10-12 10:19:17 (EET)] 1 user-account/settings 0.038891077041626s 1047.05KB 1083.31KB 
